source,product_name,brand,weight_volume_clean,country,energia_kcal,energia_kj,grasas_totales,grasas_saturadas,carbohidratos,azucares,proteinas,sal,fibra,score_nutricional
alcampo,"PRODUCTO ALCAMPO Muesli crujiente, sin gluten, con frutos secos 375 g.",PRODUCTO,375.0,"Francia, .",429.0,1803.0,13.0,2.3,65.0,25.0,8.7,0.04,4.0,77.1
alcampo,MONSTER Energy Juiced Mango Loco bebida energética con sabor a mango lata de 500 ml.,MONSTER,500.0,,48.0,203.0,0.0,0.0,12.0,11.0,0.0,0.05,4.0,100.0
alcampo,ALCAMPO ECOLÓGICO Panecillos tostados ecológicos con 7 cereales 225 g.,ALCAMPO,225.0,"Francia, .",403.0,1701.0,7.9,1.0,70.0,2.5,11.0,1.1,4.0,100.0
alcampo,PRESIDENT Crema de queso cheddar 125 g.,PRESIDENT,125.0,"Francia, Francia",274.0,1135.0,24.0,17.0,2.0,1.0,13.0,2.3,4.0,52.5
alcampo,BARILLA Placas para hacer lasaña italiana BARILLA 250 g.,BARILLA,250.0,Italia,359.0,1521.0,2.0,0.5,71.2,3.5,12.5,0.0,4.0,100.0
alcampo,ALCAMPO ECOLÓGICO Bebida vegetal de arroz y coco ecológica 1 l.,ALCAMPO,1000.0,,51.0,216.0,1.2,1.0,10.0,4.2,0.5,0.1,4.0,100.0
alcampo,DODONI Queso feta DOP 150 gr.,DODONI,150.0,,257.0,1075.0,21.0,16.0,0.0,0.0,17.0,3.0,4.0,60.5
alcampo,"RANA Salsa fresca de quesos italianos, elaborada con ingredientes 100% naturales RANA 180 g.",RANA,180.0,Italia,220.0,910.0,21.0,14.3,4.5,1.8,3.0,0.9,4.0,70.1
alcampo,LIPTON Bebida de te con zumo de melocotón lata 330 ml.,LIPTON,330.0,,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0
alcampo,PERONI Cerveza Italiana 33 cl.,PERONI,330.0,IT,42.0,176.0,0.1,0.0,3.2,0.1,0.4,0.1,4.0,100.0
alcampo,MAGGI Yakisoba Fusian Noodles (Fideos Orientales) clásicos 120 g.,MAGGI,120.0,Ucrania,436.0,595.0,5.6,1.3,58.7,7.1,9.0,2.6,4.0,85.4
alcampo,MISSION Tortilla de trigo original mexicana MISSION 320 g.,MISSION,320.0,"España, España",314.0,1325.0,7.0,0.8,54.0,1.1,8.0,0.98,4.0,100.0
alcampo,PRODUCTO ALCAMPO Salsa agridulce PRODUCTO ALCAMPO 320 g.,PRODUCTO,320.0,,127.0,541.0,0.0,0.0,30.0,28.0,0.5,0.02,4.0,74.0
alcampo,OIKOS Yogur griego con stracciatella de Danone 4 x 110 g.,OIKOS,440.0,,170.0,711.0,9.6,6.4,18.1,17.8,2.8,0.1,4.0,90.19999999999999
alcampo,LA ESPAÑOLA Aceite de oliva virgen extra a la trufa blanca botella de 250 ml.,LA,250.0,España,822.0,3381.0,91.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0
alcampo,SANTIVERI Pan tostado integral sin sal 300 g.,SANTIVERI,300.0,,354.0,1497.0,2.0,0.4,66.0,2.0,13.0,1.5,4.0,100.0
alcampo,"DOLCE GUSTO Café en cápsulas con leche I7, 34 uds.",DOLCE,340.0,España,459.0,1921.0,22.0,12.5,38.3,30.0,22.2,0.89,4.0,55.89999999999999
alcampo,ALVALLE Gazpacho selección de temporada ALVALLE 250 ml.,ALVALLE,250.0,,52.0,218.0,3.6,0.5,3.8,2.4,0.8,0.45,4.0,100.0
alcampo,MÁRDEL Dulce de Leche 450 g.,MÁRDEL,450.0,"España, Barcelona",310.0,1310.0,6.0,4.1,57.0,57.0,7.0,0.4,4.0,16.0
alcampo,PRODUCTO ALCAMPO Pasta mezze maniche al bronzo Tavola in Italia 500 g.,PRODUCTO,500.0,,347.0,1473.0,1.5,0.3,70.0,3.4,12.0,0.01,4.0,100.0
alcampo,AMBAR Cerveza morena lata de 33 cl.,AMBAR,330.0,,50.0,208.0,0.0,0.0,4.9,0.0,0.0,0.0,4.0,100.0
alcampo,"GERBER Organic Tarrito de hortalizas con tenera, a partir de 6 meses 190 g.",GERBER,190.0,Polonia,47.0,198.0,1.3,0.3,5.9,1.5,2.3,0.05,4.0,100.0
